game_date,game_pk,game_type,status,venue,game_datetime_utc,away_team,home_team,away_team_id,home_team_id,away_probable_pitcher,home_probable_pitcher
2024-07-19,746618,R,Final,Progressive Field,2024-07-19 23:10:00+00:00,San Diego Padres,Cleveland Guardians,135,114,,
2024-07-19,746040,R,Final,loanDepot park,2024-07-19 23:10:00+00:00,New York Mets,Miami Marlins,121,146,,
2024-07-19,744990,R,Final,Globe Life Field,2024-07-20 00:05:00+00:00,Baltimore Orioles,Texas Rangers,110,140,,
2024-07-19,746284,R,Final,Kauffman Stadium,2024-07-20 00:10:00+00:00,Chicago White Sox,Kansas City Royals,145,118,,
2024-07-19,746531,R,Final,Coors Field,2024-07-20 00:40:00+00:00,San Francisco Giants,Colorado Rockies,137,115,,
2024-07-19,745640,R,Final,Oakland Coliseum,2024-07-20 01:40:00+00:00,Los Angeles Angels,Oakland Athletics,108,133,,
2024-07-19,746123,R,Final,Dodger Stadium,2024-07-20 02:10:00+00:00,Boston Red Sox,Los Angeles Dodgers,111,119,,
2024-07-19,745228,R,Final,T-Mobile Park,2024-07-20 02:10:00+00:00,Houston Astros,Seattle Mariners,117,136,,
2024-07-19,747093,R,Postponed,Truist Park,2024-07-19 23:20:00+00:00,St. Louis Cardinals,Atlanta Braves,138,144,,
2024-07-20,745720,R,Final,Yankee Stadium,2024-07-20 17:05:00+00:00,Tampa Bay Rays,New York Yankees,139,147,,
2024-07-20,747093,R,Final,Truist Park,2024-07-20 17:07:00+00:00,St. Louis Cardinals,Atlanta Braves,138,144,,
2024-07-20,747096,R,Final,Truist Park,2024-07-20 23:20:00+00:00,St. Louis Cardinals,Atlanta Braves,138,144,,
2024-07-20,744910,R,Final,Rogers Centre,2024-07-20 19:07:00+00:00,Detroit Tigers,Toronto Blue Jays,116,141,,
2024-07-20,745638,R,Final,Oakland Coliseum,2024-07-20 20:07:00+00:00,Los Angeles Angels,Oakland Athletics,108,133,,
2024-07-20,746041,R,Final,loanDepot park,2024-07-20 20:10:00+00:00,New York Mets,Miami Marlins,121,146,,
2024-07-20,745478,R,Final,PNC Park,2024-07-20 22:40:00+00:00,Philadelphia Phillies,Pittsburgh Pirates,143,134,,
2024-07-20,744830,R,Final,Nationals Park,2024-07-20 22:45:00+00:00,Cincinnati Reds,Washington Nationals,113,120,,
2024-07-20,744994,R,Final,Globe Life Field,2024-07-20 23:05:00+00:00,Baltimore Orioles,Texas Rangers,110,140,,
2024-07-20,746613,R,Final,Progressive Field,2024-07-20 23:10:00+00:00,San Diego Padres,Cleveland Guardians,135,114,,
2024-07-20,746286,R,Final,Kauffman Stadium,2024-07-20 23:10:00+00:00,Chicago White Sox,Kansas City Royals,145,118,,
2024-07-20,745880,R,Final,Target Field,2024-07-20 23:10:00+00:00,Milwaukee Brewers,Minnesota Twins,158,142,,
2024-07-20,746852,R,Final,Wrigley Field,2024-07-20 23:15:00+00:00,Arizona Diamondbacks,Chicago Cubs,109,112,,
2024-07-20,746121,R,Final,Dodger Stadium,2024-07-20 23:15:00+00:00,Boston Red Sox,Los Angeles Dodgers,111,119,,
2024-07-20,746527,R,Final,Coors Field,2024-07-21 00:10:00+00:00,San Francisco Giants,Colorado Rockies,137,115,,
2024-07-20,745229,R,Final,T-Mobile Park,2024-07-21 01:40:00+00:00,Houston Astros,Seattle Mariners,117,136,,
2024-07-21,745882,R,Final,Target Field,2024-07-21 17:05:00+00:00,Milwaukee Brewers,Minnesota Twins,158,142,,
2024-07-21,744831,R,Final,Nationals Park,2024-07-21 17:35:00+00:00,Cincinnati Reds,Washington Nationals,113,120,,
2024-07-21,745470,R,Final,PNC Park,2024-07-21 17:35:00+00:00,Philadelphia Phillies,Pittsburgh Pirates,143,134,,
2024-07-21,747094,R,Final,Truist Park,2024-07-21 17:35:00+00:00,St. Louis Cardinals,Atlanta Braves,138,144,,
2024-07-21,745722,R,Final,Yankee Stadium,2024-07-21 17:35:00+00:00,Tampa Bay Rays,New York Yankees,139,147,,
2024-07-21,744909,R,Final,Rogers Centre,2024-07-21 17:37:00+00:00,Detroit Tigers,Toronto Blue Jays,116,141,,
2024-07-21,746610,R,Final,Progressive Field,2024-07-21 17:40:00+00:00,San Diego Padres,Cleveland Guardians,135,114,,
2024-07-21,746042,R,Final,loanDepot park,2024-07-21 17:40:00+00:00,New York Mets,Miami Marlins,121,146,,
2024-07-21,746287,R,Final,Kauffman Stadium,2024-07-21 18:10:00+00:00,Chicago White Sox,Kansas City Royals,145,118,,
2024-07-21,746853,R,Final,Wrigley Field,2024-07-21 18:20:00+00:00,Arizona Diamondbacks,Chicago Cubs,109,112,,
2024-07-21,744991,R,Final,Globe Life Field,2024-07-21 18:35:00+00:00,Baltimore Orioles,Texas Rangers,110,140,,
2024-07-21,746528,R,Final,Coors Field,2024-07-21 19:10:00+00:00,San Francisco Giants,Colorado Rockies,137,115,,
2024-07-21,745633,R,Final,Oakland Coliseum,2024-07-21 20:07:00+00:00,Los Angeles Angels,Oakland Athletics,108,133,,
2024-07-21,745230,R,Final,T-Mobile Park,2024-07-21 20:10:00+00:00,Houston Astros,Seattle Mariners,117,136,,
2024-07-21,746125,R,Final,Dodger Stadium,2024-07-21 23:10:00+00:00,Boston Red Sox,Los Angeles Dodgers,111,119,,
2024-07-22,745717,R,Final,Yankee Stadium,2024-07-22 17:05:00+00:00,Tampa Bay Rays,New York Yankees,139,147,,
2024-07-22,746612,R,Final,Progressive Field,2024-07-22 22:40:00+00:00,Detroit Tigers,Cleveland Guardians,116,114,,
2024-07-22,745473,R,Final,PNC Park,2024-07-22 22:40:00+00:00,St. Louis Cardinals,Pittsburgh Pirates,138,134,,
2024-07-22,746034,R,Final,loanDepot park,2024-07-22 22:40:00+00:00,New York Mets,Miami Marlins,121,146,,
2024-07-22,747095,R,Final,Truist Park,2024-07-22 23:20:00+00:00,Cincinnati Reds,Atlanta Braves,113,144,,
2024-07-22,745881,R,Final,Target Field,2024-07-22 23:40:00+00:00,Philadelphia Phillies,Minnesota Twins,143,142,,
2024-07-22,744988,R,Final,Globe Life Field,2024-07-23 00:05:00+00:00,Chicago White Sox,Texas Rangers,145,140,,
2024-07-22,746850,R,Final,Wrigley Field,2024-07-23 00:05:00+00:00,Milwaukee Brewers,Chicago Cubs,158,112,,
2024-07-22,746280,R,Final,Kauffman Stadium,2024-07-23 00:10:00+00:00,Arizona Diamondbacks,Kansas City Royals,109,118,,
2024-07-22,746526,R,Final,Coors Field,2024-07-23 00:40:00+00:00,Boston Red Sox,Colorado Rockies,111,115,,
2024-07-22,745635,R,Final,Oakland Coliseum,2024-07-23 01:40:00+00:00,Houston Astros,Oakland Athletics,117,133,,
2024-07-22,745232,R,Final,T-Mobile Park,2024-07-23 01:40:00+00:00,Los Angeles Angels,Seattle Mariners,108,136,,
2024-07-22,746124,R,Final,Dodger Stadium,2024-07-23 02:10:00+00:00,San Francisco Giants,Los Angeles Dodgers,137,119,,
2024-07-23,746614,R,Final,Progressive Field,2024-07-23 22:40:00+00:00,Detroit Tigers,Cleveland Guardians,116,114,,
2024-07-23,745475,R,Final,PNC Park,2024-07-23 22:40:00+00:00,St. Louis Cardinals,Pittsburgh Pirates,138,134,,
2024-07-23,746036,R,Final,loanDepot park,2024-07-23 22:40:00+00:00,Baltimore Orioles,Miami Marlins,110,146,,
2024-07-23,744828,R,Final,Nationals Park,2024-07-23 22:45:00+00:00,San Diego Padres,Washington Nationals,135,120,,
